,Latent Factor 1,Latent Factor 2,Latent Factor 3,Latent Factor 4,Latent Factor 5,Latent Factor 6,Latent Factor 7
136,8.052602,4.1058097,3.211158,5.95288,5.999432,3.038417,2.5291836
137,2.8810873,6.696156,1.4085609,3.0962076,3.7667413,2.538228,4.671958
138,7.458537,3.2559211,2.062991,6.8558,7.785935,2.7126133,3.6815026
139,6.8712454,3.360607,0.55638695,5.9028096,6.1965814,0.8138862,1.2360634
140,5.9002886,6.277152,2.862816,4.0728936,4.5675488,2.8141234,3.3514004
141,7.317234,5.394611,3.172498,4.9718776,5.157913,2.7991462,2.701178
142,7.7261004,4.9688025,3.3989315,5.317199,5.4186015,3.0841126,2.615548
143,7.298723,2.9668078,1.8182288,7.1539598,8.616675,2.7537124,4.282922
144,7.426381,4.3815293,2.6454005,5.5943227,5.8408437,2.662458,2.6189353
145,6.9778767,3.3580406,0.2717597,5.766316,6.077978,0.52271736,0.95327747
146,8.12052,4.312237,3.755509,5.6644464,5.888935,3.508445,2.7065098
147,5.9839664,6.2808266,2.8594317,4.199622,4.600492,2.8965364,3.2551727
148,6.807841,3.1574588,0.16941527,5.9200497,6.237091,0.41288003,0.84527504
149,6.8470545,3.1782012,0.26030684,5.8892074,6.2028146,0.5072098,0.93656
150,2.530523,6.9397764,1.0080172,3.4996707,3.3592668,2.580974,4.236968
151,7.4664063,2.83396,1.838683,7.256243,8.602184,2.9798503,4.3094273
152,7.9823127,5.9203506,4.075582,4.75413,4.867395,3.3461447,2.2126324
153,2.5854073,6.734235,1.1705073,3.4474444,3.4006786,2.507138,4.357574
154,7.3495708,2.8821669,1.8330327,7.1912045,8.705561,2.8163278,4.3213005
155,7.4609694,3.3051128,1.5136414,6.5061502,6.4541926,2.2451508,3.0095232
156,1.8787444,6.4222383,1.1875076,2.309729,4.2871237,2.7096725,5.1987376
157,6.3590717,6.103357,3.009457,4.3524113,4.6425586,2.9010296,3.0597491
158,7.8759108,2.4966497,1.0475391,7.0431457,6.7745056,2.369949,3.559976
159,6.7538743,5.9802465,3.1979258,4.5237064,4.7500105,2.931625,2.901595
160,2.698061,6.6513863,1.3870981,2.958537,3.8595006,2.5457008,4.7866287
161,6.1484838,6.0953145,2.8754241,4.271945,4.5545144,2.8584116,3.1105745
162,6.890183,3.3002608,0.35376734,5.8579364,6.168794,0.60513383,1.0353456
163,7.8617606,5.821039,3.9895742,4.781075,4.869782,3.300317,2.2715125
164,8.255043,4.2444215,3.8803923,5.7382426,5.966189,3.646019,2.6479619
165,1.908012,6.4701853,1.3352631,2.419246,4.221087,2.7473907,5.014439
166,7.603008,2.861719,2.0756927,7.18766,8.508059,3.0095453,4.182485
167,8.209489,4.4119053,3.852578,5.6216216,5.802981,3.5652447,2.5958657
168,1.6908873,6.408783,1.1324664,2.1635647,4.4384165,2.7220047,5.300881
169,8.221255,4.957019,4.013093,5.321065,5.4088655,3.559357,2.4018438
170,2.4207973,6.999823,0.91732013,3.464086,3.325272,2.516158,4.1125093
171,7.646299,2.9242768,2.3245933,7.089681,8.597069,3.1500297,4.128927
172,7.5519485,3.6029027,2.1512403,6.4117527,6.6946974,2.505613,2.8688033
173,7.0516596,3.3809872,1.7738835,6.9495773,8.199426,2.4873586,4.036513
174,2.0244412,6.539532,1.2690723,2.4773767,4.2419868,2.663127,5.088041
175,7.489799,4.5872774,2.5705907,5.852778,5.734201,2.4347572,2.4968152
176,6.10314,5.8820567,2.481692,4.502111,4.827887,2.7988493,3.2324157
177,6.8349066,3.3639092,0.68530923,5.989101,6.275328,0.9300195,1.3504721
178,6.8567357,3.2163692,0.2134478,5.865559,6.1802974,0.46549633,0.89982194
179,6.8430185,3.3412023,0.36495006,5.90069,6.2141094,0.6152857,1.0474588
180,6.812778,3.4355464,0.88175696,5.98777,6.2571964,1.1240348,1.5413371
